171.875 4023.6 1166.46 1769.9 1087.23 (count: 628)
187.5 4424.84 1271.07 1995.41 1158.36 (count: 627)
203.125 4850.28 1383.8 2223.09 1243.39 (count: 626)
218.75 5272.92 1504.31 2451.89 1316.72 (count: 625)
234.375 5728.13 1643.13 2694.34 1390.66 (count: 624)
250 6211.76 1783.77 2953.08 1474.91 (count: 623)
265.625 6696.87 1917.32 3218.39 1561.15 (count: 622)
281.25 7167.31 2048.55 3480.67 1638.08 (count: 621)
296.875 7631.78 2164.93 3744.55 1722.3 (count: 620)
312.5 8082.54 2269.34 4012.87 1800.33 (count: 619)
328.125 8550.55 2379.42 4292.32 1878.81 (count: 618)
343.75 9026.22 2483.49 4573.81 1968.91 (count: 617)
359.375 9503.83 2571.71 4862.97 2069.15 (count: 616)
375 9990.28 2665.14 5156.05 2169.1 (count: 615)
390.625 10327.8 3045.27 4684.62 2597.9 (count: 24)
781.25 23420.7 5589.35 12697.9 5133.46 (count: 23)
1171.88 37239.7 6359.29 23528.9 7351.51 (count: 22)
1562.5 50804.9 7318.33 33405.5 10081.2 (count: 21)
1953.12 65656.1 11250 40809.1 13597 (count: 20)
2343.75 74612.6 12241.1 47150.7 15220.8 (count: 19)
2734.38 79003.2 10656.4 53511.8 14834.9 (count: 18)
3125 85455.1 9264.27 62717.6 13473.3 (count: 17)
3515.62 97988.4 11244.7 72862.6 13881.1 (count: 16)
3906.25 112648 13213.6 87549.7 11884.4 (count: 15)
4296.88 124547 14804.7 97254.6 12488 (count: 14)
4687.5 138391 17536.1 106216 14638.7 (count: 13)
5078.12 146330 24039.4 104007 18284.3 (count: 12)
5468.75 151227 29030.1 100804 21392.7 (count: 11)
5859.38 160102 31060.8 99625.2 29415.7 (count: 10)
6250 171680 33215.2 103078 35386.5 (count: 9)
6640.62 189919 37109.9 115358 37451.4 (count: 8)
7031.25 206851 35309 135045 36497.7 (count: 7)
7421.88 239049 34380.2 168782 35886.5 (count: 6)
7812.5 292826 40868.7 216257 35699.5 (count: 5)
8203.12 345466 46948.9 269582 28935.7 (count: 4)
8593.75 390946 60389.6 306084 24471.6 (count: 3)
8984.38 385068 73504.1 285351 26212.9 (count: 2)
9375 395773 89794.9 280617 25361.5 (count: 1)
